OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0019E,DP05_0020E,DP05_0021E,DP05_0022E,DP05_0023E,DP05_0024E,DP05_0025E,DP05_0026E,DP05_0027E,DP05_0028E,DP05_0029E,DP05_0030E,DP05_0031E,DP05_0032E,DP05_0033E,DP05_0034E,DP05_0035E,DP05_0036E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0040E,DP05_0041E,DP05_0042E,DP05_0043E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0047E,DP05_0048E,DP05_0049E,DP05_0050E,DP05_0051E,DP05_0052E,DP05_0053E,DP05_0054E,DP05_0055E,DP05_0056E,DP05_0057E,DP05_0058E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0066E,DP05_0067E,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0077E,DP05_0078E,DP05_0079E,DP05_0080E,DP05_0081E,DP05_0082E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0086E,DP05_0087E,DP05_0088E,DP05_0089E,GIS_ID,SHAPEAREA,SHAPELEN
1,11,001,009505,11001009505,95.05,Census Tract 95.05,G5020,S,1032228,0,+38.9618979,-077.0052019,3721,1787,1934,92.4,58,259,164,147,118,785,526,423,427,155,238,217,204,41.5,628,3203,3093,3088,752,659,3093,1418,1675,84.7,659,237,422,56.2,3721,3580,141,3580,426,2839,19,0,0,0,0,27,0,0,0,0,0,18,9,0,0,0,0,0,269,141,72,0,12,0,3721,532,2968,41,63,11,269,3721,347,78,5,11,253,3374,425,2834,19,27,0,9,60,0,60,1601,2865,1302,1563,ACS_Demographic_DC_CensusTract_32,0,0
2,11,001,001902,11001001902,19.02,Census Tract 19.02,G5020,S,877350,0,+38.9639299,-077.0156458,2544,1199,1345,89.1,106,126,93,100,96,293,444,438,201,191,257,118,81,45.3,402,2201,2142,2086,585,456,2142,1004,1138,88.2,456,173,283,61.1,2544,2412,132,2412,679,1458,0,0,0,0,0,25,0,6,19,0,0,0,0,0,0,0,0,0,250,132,57,14,37,4,2544,802,1539,33,67,0,250,2544,638,13,138,0,487,1906,428,1376,0,25,0,0,77,0,77,863,1858,919,939,ACS_Demographic_DC_CensusTract_168,0,0
3,11,001,001901,11001001901,19.01,Census Tract 19.01,G5020,S,769306,0,+38.9646853,-077.0236327,4183,2001,2182,91.7,218,249,221,192,172,666,792,681,214,178,301,212,87,37.9,803,3465,3380,3253,744,600,3380,1617,1763,91.7,600,180,420,42.9,4183,4103,80,4103,1211,2520,0,0,0,0,0,127,0,118,0,0,0,0,9,0,0,0,0,0,245,80,43,10,18,0,4183,1282,2572,10,154,0,245,4183,738,361,111,0,266,3445,803,2430,0,127,0,26,59,0,59,1627,3053,1417,1636,ACS_Demographic_DC_CensusTract_167,0,0
4,11,001,001100,11001001100,11,Census Tract 11,G5020,S,1676650,0,+38.9572432,-077.0776732,4823,2123,2700,78.6,326,271,287,118,149,507,812,684,407,230,526,400,106,43.9,995,3907,3828,3812,1169,1032,3828,1584,2244,70.6,1032,400,632,63.3,4823,4699,124,4699,4098,235,44,44,0,0,0,285,90,151,35,9,0,0,0,15,15,0,0,0,22,124,0,0,102,0,4823,4222,235,44,387,15,44,4823,342,51,108,0,183,4481,3800,235,44,285,15,0,102,0,102,2254,3591,1427,2164,ACS_Demographic_DC_CensusTract_160,0,0
5,11,001,001402,11001001402,14.02,Census Tract 14.02,G5020,S,895209,0,+38.9606051,-077.0630933,3370,1564,1806,86.6,365,166,229,54,56,308,547,536,108,102,268,293,338,43.8,798,2610,2572,2556,957,899,2572,1153,1419,81.3,899,352,547,64.4,3370,3234,136,3234,2494,343,0,0,0,0,0,203,26,54,0,28,11,44,40,16,0,16,0,0,178,136,60,10,46,0,3370,2620,413,10,259,26,178,3370,600,70,46,135,349,2770,2124,327,0,203,16,8,92,0,92,1600,2325,1064,1261,ACS_Demographic_DC_CensusTract_98,0,0
6,11,001,001301,11001001301,13.01,Census Tract 13.01,G5020,S,2855960,26550,+38.9519215,-077.0520508,4334,1969,2365,83.3,214,233,230,118,257,1145,569,598,127,158,423,168,94,34.7,744,3627,3590,3458,790,685,3590,1575,2015,78.2,685,285,400,71.3,4334,4215,119,4215,3179,650,0,0,0,0,0,386,116,21,10,14,13,190,22,0,0,0,0,0,0,119,94,0,16,1,4334,3289,753,1,410,0,0,4334,346,62,0,0,284,3988,2843,650,0,376,0,0,119,0,119,2062,3175,1375,1800,ACS_Demographic_DC_CensusTract_94,0,0
7,11,001,009507,11001009507,95.07,Census Tract 95.07,G5020,S,295290,0,+38.9584945,-076.9977787,1991,978,1013,96.5,215,101,95,104,139,374,303,138,106,133,63,181,39,34.7,451,1563,1540,1441,371,283,1540,746,794,94,283,62,221,28.1,1991,1959,32,1959,277,1465,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,214,32,12,5,0,15,1991,294,1492,20,3,0,214,1991,411,0,18,0,393,1580,80,1465,0,3,0,0,32,0,32,604,1317,585,732,ACS_Demographic_DC_CensusTract_42,0,0
8,11,001,002002,11001002002,20.02,Census Tract 20.02,G5020,S,849376,0,+38.9525009,-077.0310824,4781,2505,2276,110.1,431,286,296,182,299,954,654,643,222,214,383,135,82,34.6,1142,3726,3639,3586,712,600,3639,1760,1879,93.7,600,222,378,58.7,4781,4506,275,4506,1146,2350,11,0,0,11,0,104,10,8,0,0,0,61,25,0,0,0,0,0,895,275,63,0,14,0,4781,1292,2558,11,246,0,1018,4781,1261,185,44,0,1032,3520,903,2350,11,104,0,0,152,0,152,1448,3192,1515,1677,ACS_Demographic_DC_CensusTract_174,0,0
9,11,001,002101,11001002101,21.01,Census Tract 21.01,G5020,S,600992,0,+38.9559119,-077.0241312,5531,2778,2753,100.9,596,381,257,155,186,1051,595,806,454,257,583,145,65,37.2,1277,4297,4254,4017,991,793,4254,2146,2108,101.8,793,336,457,73.5,5531,5373,158,5373,861,3651,33,0,0,33,0,114,0,30,84,0,0,0,0,0,0,0,0,0,714,158,33,0,22,17,5531,1002,3725,50,160,0,776,5531,1154,64,207,0,883,4377,657,3477,33,114,0,0,96,0,96,2222,3397,1646,1751,ACS_Demographic_DC_CensusTract_175,0,0
10,11,001,001001,11001001001,10.01,Census Tract 10.01,G5020,S,2454383,0,+38.9489546,-077.0884650,7213,3542,3671,96.5,465,594,492,336,335,544,1010,1164,340,425,836,490,182,44,1766,5609,5447,5246,1801,1508,5447,2565,2882,89,1508,724,784,92.3,7213,6857,356,6857,6037,268,0,0,0,0,0,455,134,163,81,0,0,0,77,0,0,0,0,0,97,356,12,0,260,63,7213,6309,343,63,736,0,118,7213,446,112,40,0,294,6767,5666,268,0,455,0,22,356,21,335,2835,4987,2311,2676,ACS_Demographic_DC_CensusTract_151,0,0
11,11,001,002600,11001002600,26,Census Tract 26,G5020,S,2112431,62622,+38.9464323,-077.0404553,2652,1280,1372,93.3,278,135,92,22,66,538,325,347,196,172,290,88,103,39.7,519,2147,2133,2125,596,481,2133,1051,1082,97.1,481,182,299,60.9,2652,2572,80,2572,1270,798,9,0,0,0,0,172,35,5,62,35,7,0,28,13,13,0,0,0,310,80,0,7,35,0,2652,1312,836,16,227,13,348,2652,468,26,27,36,379,2184,1124,790,9,172,13,16,60,0,60,993,1851,904,947,ACS_Demographic_DC_CensusTract_100,0,0
12,11,001,002102,11001002102,21.02,Census Tract 21.02,G5020,S,725975,0,+38.9557854,-077.0142356,5660,2617,3043,86,400,192,322,334,235,1061,961,684,354,317,384,219,197,38.4,1178,4700,4482,4402,952,800,4482,2131,2351,90.6,800,250,550,45.5,5660,5425,235,5425,950,3428,114,0,0,0,0,40,15,8,0,0,17,0,0,0,0,0,0,0,893,235,79,0,9,47,5660,1066,3654,234,104,77,893,5660,1348,132,11,17,1188,4312,637,3428,35,40,0,0,172,0,172,2231,3999,1962,2037,ACS_Demographic_DC_CensusTract_12,0,0
