OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP03_0001E,DP03_0002E,DP03_0003E,DP03_0004E,DP03_0005E,DP03_0006E,DP03_0007E,DP03_0008E,DP03_0009PE,DP03_0010E,DP03_0011E,DP03_0012E,DP03_0013E,DP03_0014E,DP03_0015E,DP03_0016E,DP03_0017E,DP03_0018E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0023E,DP03_0024E,DP03_0025E,DP03_0026E,DP03_0027E,DP03_0028E,DP03_0029E,DP03_0030E,DP03_0031E,DP03_0032E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E,DP03_0047E,DP03_0048E,DP03_0049E,DP03_0050E,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E,DP03_0064E,DP03_0065E,DP03_0066E,DP03_0067E,DP03_0068E,DP03_0069E,DP03_0070E,DP03_0071E,DP03_0072E,DP03_0073E,DP03_0074E,DP03_0075E,DP03_0076E,DP03_0077E,DP03_0078E,DP03_0079E,DP03_0080E,DP03_0081E,DP03_0082E,DP03_0083E,DP03_0084E,DP03_0085E,DP03_0086E,DP03_0087E,DP03_0088E,DP03_0089E,DP03_0090E,DP03_0091E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0095E,DP03_0096E,DP03_0097E,DP03_0098E,DP03_0099E,DP03_0100E,DP03_0101E,DP03_0102E,DP03_0103E,DP03_0104E,DP03_0105E,DP03_0106E,DP03_0107E,DP03_0108E,DP03_0109E,DP03_0110E,DP03_0111E,DP03_0112E,DP03_0113E,DP03_0114E,DP03_0115E,DP03_0116E,DP03_0117E,DP03_0118E,DP03_0119PE,DP03_0120PE,DP03_0121PE,DP03_0122PE,DP03_0123PE,DP03_0124PE,DP03_0125PE,DP03_0126PE,DP03_0127PE,DP03_0128PE,DP03_0129PE,DP03_0130PE,DP03_0131PE,DP03_0132PE,DP03_0133PE,DP03_0134PE,DP03_0135PE,DP03_0136PE,DP03_0137PE,GIS_ID,SHAPEAREA,SHAPELEN
1,11,001,001401,11001001401,14.01,Census Tract 14.01,G5020,S,788095,0,+38.9653036,-077.0706075,2740,2030,2030,1940,90,0,710,2030,4.4,1461,994,994,943,369,274,561,404,1899,766,80,760,32,47,214,36.6,1940,1592,142,187,13,6,1940,0,0,27,0,28,30,68,90,536,455,150,187,369,1940,1196,548,196,0,1430,69,4,31,12,59,202,107,245,137,564,143056,242240,1271,200425,321,23820,302,59136,13,,0,,11,851,10,0,0,0,7,11,34,145,141,503,250001,347729,97862,579,57344,85191,82426,126316,82073,3659,3561,3313,794,98,940,12,2068,1824,1734,1648,1609,78,86,90,90,56,34,0,244,244,217,27,0,1.2,2,0,1.2,2.1,0,0,0,,5.6,2.1,1.1,0,1.7,6.8,6.1,8.8,1,23.1,ACS_Economic_DC_CensusTract_162,0,0
2,11,001,009505,11001009505,95.05,Census Tract 95.05,G5020,S,1032228,0,+38.9618979,-077.0052019,3203,2211,2211,1971,240,0,992,2211,10.9,1708,1128,1128,1075,118,106,467,373,1948,1070,270,567,16,16,9,34.2,1971,1117,270,419,58,107,1971,0,28,38,0,135,132,92,100,303,361,110,53,619,1971,971,938,62,0,1356,135,47,70,42,106,208,145,233,151,219,81917,108672,1051,110630,475,16771,430,30361,71,6338,13,,126,757,0,5,24,0,27,138,54,194,127,188,122215,145184,45468,599,45430,54019,60964,52417,71420,3721,3523,2914,1224,198,628,0,2434,2057,1817,1736,1580,233,81,240,123,88,35,117,377,377,193,240,0,3,5.3,0,4.7,12.2,0,1.7,0,,7.2,6.5,6.5,0,7.2,7.3,8.1,4.6,3,23.6,ACS_Economic_DC_CensusTract_32,0,0
3,11,001,001902,11001001902,19.02,Census Tract 19.02,G5020,S,877350,0,+38.9639299,-077.0156458,2201,1414,1414,1331,83,0,787,1414,5.9,1163,746,746,703,159,127,200,149,1324,574,28,502,57,29,134,42.6,1331,676,286,156,73,140,1331,0,51,30,6,96,31,44,69,317,258,144,119,166,1331,993,272,66,0,820,34,5,38,19,107,146,102,111,107,151,90893,121017,646,121274,249,17586,272,37839,54,7431,6,,49,552,10,0,34,11,81,49,63,85,95,124,116154,133415,43449,268,66354,76569,40732,73988,73750,2544,2453,1831,1097,91,413,16,1675,1354,1271,1215,1025,247,56,83,78,28,50,5,321,307,147,242,14,1.8,2.3,0,0,0,0,4.7,13.5,,5.1,4.2,1.3,0,1.8,5.3,4.5,8.1,1.8,17.2,ACS_Economic_DC_CensusTract_168,0,0
4,11,001,001901,11001001901,19.01,Census Tract 19.01,G5020,S,769306,0,+38.9646853,-077.0236327,3465,2372,2372,2227,145,0,1093,2372,6.1,1822,1207,1207,1165,228,188,575,280,2179,1042,113,705,35,102,182,39,2227,1231,298,492,107,99,2227,0,26,34,5,156,171,81,70,484,394,189,232,385,2227,1562,544,114,7,1449,108,69,62,57,149,147,139,327,161,230,98523,121894,1151,131163,357,16017,306,36896,39,11631,77,9553,144,924,44,10,0,40,64,68,108,318,88,184,107188,149266,46938,525,42244,67296,53278,70313,56283,4183,4027,2948,1759,156,814,0,2769,2200,2105,2019,1782,333,86,95,55,31,24,40,569,539,219,431,30,6.8,10.5,0,1.9,0,0,16.4,29.7,0,11.6,24.4,24.4,0,33.5,8.6,7.5,13.7,10,18.3,ACS_Economic_DC_CensusTract_167,0,0
5,11,001,001100,11001001100,11,Census Tract 11,G5020,S,1676650,0,+38.9572432,-077.0776732,3907,2873,2873,2765,108,0,1034,2873,3.8,2256,1630,1630,1532,381,319,614,574,2726,953,64,1172,180,97,260,31.3,2765,2030,224,435,40,36,2765,0,38,33,11,168,38,185,105,754,576,285,199,373,2765,1916,503,311,35,2061,94,0,48,18,137,120,321,285,236,802,151250,235874,1673,229203,617,21263,433,68878,0,,10,,0,1231,0,0,17,18,18,29,74,246,173,656,237589,308081,101682,830,82283,124122,80745,167929,82042,4766,4657,4331,1068,109,1002,0,2754,2605,2497,2388,2356,53,109,108,108,87,21,0,149,149,143,6,0,0.6,0,0,0,0,0,0,0,,3.8,0,0,0,0,4.9,2.6,11.1,1.2,12.3,ACS_Economic_DC_CensusTract_160,0,0
6,11,001,001402,11001001402,14.02,Census Tract 14.02,G5020,S,895209,0,+38.9606051,-077.0630933,2610,1687,1677,1617,60,10,923,1677,3.6,1440,834,834,802,402,362,386,332,1612,681,193,389,49,72,228,27.1,1617,1348,113,142,6,8,1617,0,21,8,19,20,0,123,117,508,294,116,208,183,1617,1263,247,107,0,1512,123,20,28,76,51,208,94,282,108,522,116435,177476,1054,210271,523,18030,394,43421,77,16319,11,,99,682,0,0,8,10,10,41,0,98,109,406,231786,280441,82151,830,71136,90440,101337,128125,111563,3299,3250,2800,971,49,804,0,1645,1473,1422,1373,1335,48,49,51,51,51,0,0,172,172,146,67,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,8.4,5.2,14.7,0,19.9,ACS_Economic_DC_CensusTract_98,0,0
7,11,001,002001,11001002001,20.01,Census Tract 20.01,G5020,S,632723,1107,+38.9597034,-077.0351061,2639,1808,1808,1716,92,0,831,1808,5.1,1345,921,921,862,392,344,426,363,1620,696,85,679,6,64,90,33,1716,685,613,266,67,85,1716,7,90,0,0,74,88,25,82,417,274,347,155,157,1716,1367,280,69,0,1048,30,13,105,96,139,208,108,172,43,134,64577,105174,877,106060,259,18249,159,51155,32,8581,42,2074,120,635,0,0,49,78,105,74,72,98,42,117,77212,121852,35156,413,46058,66756,32081,45793,41696,3490,3317,1918,1951,173,963,4,2132,1713,1625,1518,1079,551,107,88,88,43,55,0,419,357,175,247,62,8.8,12.4,0,3.8,3,0,20.7,27.4,0,13.2,15.7,15.7,2,28.2,12.3,12.5,10.9,9.2,25.3,ACS_Economic_DC_CensusTract_95,0,0
8,11,001,001301,11001001301,13.01,Census Tract 13.01,G5020,S,2855960,26550,+38.9519215,-077.0520508,3627,2747,2731,2562,169,16,880,2731,6.2,2015,1482,1482,1418,238,189,476,294,2578,941,38,1062,85,204,248,30.7,2562,2362,75,87,0,38,2562,0,46,32,0,0,0,177,138,722,463,137,295,552,2562,1605,715,242,0,1919,70,68,41,67,77,255,190,507,227,417,118309,175310,1704,162799,339,26075,327,69522,40,5163,0,,57,881,0,57,0,27,0,42,53,217,176,309,154350,251145,79793,1038,85791,110944,71738,100229,83063,4235,4028,3657,947,207,789,91,2838,2410,2255,2193,2166,130,62,155,155,128,27,0,428,374,202,172,54,6.5,0,0,0,0,0,100,,,7.6,0,0,0,0,9.1,10.5,2.5,5.1,11.9,ACS_Economic_DC_CensusTract_94,0,0
9,11,001,009507,11001009507,95.07,Census Tract 95.07,G5020,S,295290,0,+38.9584945,-076.9977787,1563,1020,1020,886,134,0,543,1020,13.1,810,410,410,339,170,76,159,105,870,523,114,162,0,55,16,39.9,886,305,186,160,122,113,886,0,137,3,5,108,59,8,29,163,120,105,28,121,886,587,196,103,0,592,42,35,30,20,51,139,88,110,44,33,73359,93604,403,99320,188,12389,178,63541,5,,46,6604,85,316,8,9,0,0,36,63,66,63,38,33,95250,124174,33619,276,61477,55925,47713,42847,64444,1991,1782,1116,919,209,456,0,1252,989,855,731,637,111,124,134,116,62,54,18,263,196,100,133,67,5.4,5.7,0,0,0,0,8.9,11.5,0,12.4,11.1,11.1,7.9,14,12.7,12.3,14.8,9.2,26.5,ACS_Economic_DC_CensusTract_42,0,0
10,11,001,002002,11001002002,20.02,Census Tract 20.02,G5020,S,849376,0,+38.9525009,-077.0310824,3726,2915,2894,2730,164,21,811,2894,5.7,1911,1381,1360,1323,469,399,599,506,2751,1332,146,911,19,196,147,34.4,2730,1527,434,527,57,185,2730,0,77,21,28,270,41,83,195,685,494,275,212,349,2730,2029,549,152,0,1293,4,65,39,117,31,140,132,170,178,417,147616,184597,1203,182417,266,14255,149,37774,12,,6,,70,916,6,16,31,112,31,92,113,81,196,238,128846,188893,55811,377,85719,121257,54301,60183,70595,4741,4602,3395,1608,139,1153,37,2988,2706,2542,2500,2195,344,42,164,127,51,76,37,282,259,150,119,23,3.1,4.6,5,2.5,3.1,13.3,7,14.5,0,6.1,9.2,9.2,10.9,8.1,5.2,4.4,9,3.8,14.9,ACS_Economic_DC_CensusTract_174,0,0
