OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0004E,DP04_0005E,DP04_0006E,DP04_0007E,DP04_0008E,DP04_0009E,DP04_0010E,DP04_0011E,DP04_0012E,DP04_0013E,DP04_0014E,DP04_0015E,DP04_0016E,DP04_0017E,DP04_0018E,DP04_0019E,DP04_0020E,DP04_0021E,DP04_0022E,DP04_0023E,DP04_0024E,DP04_0025E,DP04_0026E,DP04_0027E,DP04_0028E,DP04_0029E,DP04_0030E,DP04_0031E,DP04_0032E,DP04_0033E,DP04_0034E,DP04_0035E,DP04_0036E,DP04_0037E,DP04_0038E,DP04_0039E,DP04_0040E,DP04_0041E,DP04_0042E,DP04_0043E,DP04_0044E,DP04_0045E,DP04_0046E,DP04_0047E,DP04_0048E,DP04_0049E,DP04_0050E,DP04_0051E,DP04_0052E,DP04_0053E,DP04_0054E,DP04_0055E,DP04_0056E,DP04_0057E,DP04_0058E,DP04_0059E,DP04_0060E,DP04_0061E,DP04_0062E,DP04_0063E,DP04_0064E,DP04_0065E,DP04_0066E,DP04_0067E,DP04_0068E,DP04_0069E,DP04_0070E,DP04_0071E,DP04_0072E,DP04_0073E,DP04_0074E,DP04_0075E,DP04_0076E,DP04_0077E,DP04_0078E,DP04_0079E,DP04_0080E,DP04_0081E,DP04_0082E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0087E,DP04_0088E,DP04_0089E,DP04_0090E,DP04_0091E,DP04_0092E,DP04_0093E,DP04_0094E,DP04_0095E,DP04_0096E,DP04_0097E,DP04_0098E,DP04_0099E,DP04_0100E,DP04_0101E,DP04_0102E,DP04_0103E,DP04_0104E,DP04_0105E,DP04_0106E,DP04_0107E,DP04_0108E,DP04_0109E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0115E,DP04_0116E,DP04_0117E,DP04_0118E,DP04_0119E,DP04_0120E,DP04_0121E,DP04_0122E,DP04_0123E,DP04_0124E,DP04_0125E,DP04_0126E,DP04_0127E,DP04_0128E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0134E,DP04_0135E,DP04_0136E,DP04_0137E,DP04_0138E,DP04_0139E,DP04_0140E,DP04_0141E,DP04_0142E,DP04_0143E,GIS_ID,SHAPEAREA,SHAPELEN
1,11,001,001401,11001001401,14.01,Census Tract 14.01,G5020,S,788095,0,+38.9653036,-077.0706075,1457,1430,27,0,4.1,1457,734,53,11,21,11,17,610,0,0,1457,0,0,21,16,22,107,21,319,193,758,1457,137,89,292,136,39,56,122,130,456,6.1,1457,192,338,181,218,413,115,1430,805,625,2.98,2,1430,228,163,330,261,143,305,1430,316,551,475,88,1430,1016,0,361,53,0,0,0,0,0,1430,0,0,0,1430,1364,66,0,805,21,12,0,0,0,17,259,496,1106700,805,606,199,606,0,22,19,29,38,90,408,3906,199,0,0,27,25,49,98,996,606,361,96,79,14,56,0,199,117,41,10,0,0,9,22,0,625,0,13,168,341,37,66,0,1693,0,614,75,117,59,84,109,170,11,ACS_Housing_DC_CensusTract_162,0,0
2,11,001,009505,11001009505,95.05,Census Tract 95.05,G5020,S,1032228,0,+38.9618979,-077.0052019,1601,1356,245,8.4,0,1601,558,687,0,120,21,0,215,0,0,1601,227,102,0,0,0,39,184,476,296,277,1601,10,69,238,107,194,421,248,164,150,5.9,1601,10,262,340,753,218,18,1356,982,374,3.11,1.68,1356,103,213,278,152,171,439,1356,266,677,267,146,1356,1055,21,273,7,0,0,0,0,0,1356,0,0,38,1356,1324,22,10,982,21,0,0,4,53,542,351,11,448800,982,595,387,595,10,9,178,51,184,75,88,2135,387,66,18,111,85,80,27,598,595,298,104,44,31,118,0,387,216,50,39,9,47,10,16,0,374,0,14,81,153,30,87,9,1801,0,299,28,55,10,9,20,177,75,ACS_Housing_DC_CensusTract_32,0,0
3,11,001,001902,11001001902,19.02,Census Tract 19.02,G5020,S,877350,0,+38.9639299,-077.0156458,863,820,43,0,9.9,863,331,419,0,22,15,37,39,0,0,863,0,0,6,9,9,11,4,124,194,506,863,4,0,37,91,54,126,137,221,193,7.4,863,4,83,107,279,348,42,820,684,136,3.15,2.62,820,30,61,198,227,67,237,820,81,395,265,79,820,727,16,49,9,0,0,4,15,0,820,0,0,26,820,816,0,4,684,0,0,0,0,12,206,452,14,584200,684,482,202,482,0,10,36,143,100,62,131,2260,202,0,16,65,78,29,14,636,482,192,92,59,54,85,0,202,80,41,30,19,6,0,26,0,125,0,26,81,5,0,0,13,1127,11,125,21,4,22,26,4,48,11,ACS_Housing_DC_CensusTract_168,0,0
4,11,001,001901,11001001901,19.01,Census Tract 19.01,G5020,S,769306,0,+38.9646853,-077.0236327,1627,1449,178,3.1,9.5,1627,206,1106,73,74,0,105,21,42,0,1627,0,0,0,0,32,61,28,389,248,869,1627,0,11,81,127,208,287,378,288,247,6.8,1627,0,104,277,845,348,53,1449,1058,391,2.97,2.61,1449,55,319,267,222,237,349,1449,256,664,388,141,1449,1276,39,106,19,0,0,0,0,9,1449,8,0,9,1449,1449,0,0,1058,37,0,0,0,21,399,568,33,536300,1058,727,331,727,13,29,82,189,84,145,185,2301,331,0,72,90,131,19,19,604,727,375,88,80,24,160,0,331,180,52,8,18,0,12,61,0,383,42,161,70,18,19,60,13,968,8,341,47,67,28,39,52,108,50,ACS_Housing_DC_CensusTract_167,0,0
5,11,001,001100,11001001100,11,Census Tract 11,G5020,S,1676650,0,+38.9572432,-077.0776732,2254,2061,193,2.9,7.4,2254,881,474,11,0,16,45,827,0,0,2254,57,28,113,58,131,120,155,244,143,1205,2254,151,122,322,229,118,260,203,188,661,6.2,2254,169,531,336,501,343,374,2061,1384,677,2.67,1.58,2061,218,303,511,442,217,370,2061,497,891,515,158,2061,1475,0,483,55,0,0,0,21,27,2061,0,168,50,2061,2035,26,0,1384,0,10,0,0,49,50,487,788,1058000,1384,1023,361,1023,0,14,40,119,49,31,770,3857,361,0,38,16,51,41,215,1057,1023,590,155,110,77,91,0,361,198,68,43,7,0,0,45,0,664,0,21,165,354,70,0,54,1706,13,649,61,47,174,99,91,177,28,ACS_Housing_DC_CensusTract_160,0,0
6,11,001,001402,11001001402,14.02,Census Tract 14.02,G5020,S,895209,0,+38.9606051,-077.0630933,1600,1512,88,0,3,1600,636,164,0,63,0,27,710,0,0,1600,238,10,164,89,18,35,125,185,134,602,1600,306,56,145,251,72,111,185,205,269,5.1,1600,353,250,208,405,266,118,1512,829,683,2.79,1.46,1512,190,210,365,415,102,230,1512,488,518,427,79,1512,1046,0,440,26,0,0,0,0,0,1512,0,95,19,1512,1512,0,0,829,8,0,0,0,51,22,537,211,872800,829,600,229,600,0,8,26,52,42,58,414,3881,229,10,0,28,63,64,64,847,600,362,92,59,7,80,0,229,124,42,16,10,16,12,9,0,663,186,11,137,184,33,22,90,1469,20,654,168,92,48,45,39,262,29,ACS_Housing_DC_CensusTract_98,0,0
7,11,001,002001,11001002001,20.01,Census Tract 20.01,G5020,S,632723,1107,+38.9597034,-077.0351061,1118,1048,70,5.1,3.5,1118,285,69,19,65,45,248,387,0,0,1118,36,46,33,4,45,81,68,125,201,479,1118,103,70,278,245,71,14,34,85,218,3.9,1118,109,399,269,56,158,127,1048,412,636,3.03,3.38,1048,45,118,291,344,108,142,1048,290,453,222,83,1048,619,5,376,34,0,0,0,4,10,1048,17,17,35,1048,873,102,73,412,0,0,0,8,74,13,188,129,840900,412,313,99,313,0,0,56,43,49,18,147,2736,99,9,6,17,14,28,25,842,313,139,75,17,15,67,0,99,66,20,3,0,0,0,10,0,617,75,136,262,101,43,0,0,1230,19,612,61,74,40,128,39,270,24,ACS_Housing_DC_CensusTract_95,0,0
8,11,001,001301,11001001301,13.01,Census Tract 13.01,G5020,S,2855960,26550,+38.9519215,-077.0520508,2062,1919,143,0,6.2,2062,526,0,8,0,0,0,1528,0,0,2062,0,0,13,55,111,319,348,457,145,614,2062,132,167,515,498,193,9,85,52,411,3.9,2062,236,769,463,110,271,213,1919,597,1322,2.8,1.94,1919,281,226,707,361,136,208,1919,497,883,484,55,1919,1103,38,594,57,0,0,0,75,52,1919,0,21,106,1919,1874,45,0,597,0,0,0,0,0,41,88,468,1282000,597,485,112,485,0,0,17,17,58,27,366,4001,112,15,0,0,0,0,97,1456,485,175,36,86,54,134,0,112,74,10,28,0,0,0,0,0,1322,16,16,100,573,407,114,96,1962,0,1275,191,258,172,146,72,436,47,ACS_Housing_DC_CensusTract_94,0,0
9,11,001,009507,11001009507,95.07,Census Tract 95.07,G5020,S,295290,0,+38.9584945,-076.9977787,604,592,12,0,0,604,114,448,0,0,0,25,17,0,0,604,11,12,18,6,0,0,105,323,116,13,604,0,0,38,3,84,200,108,126,45,6.4,604,0,30,38,489,47,0,592,483,109,3,4.99,592,7,55,102,145,75,208,592,112,236,148,96,592,492,5,89,0,6,0,0,0,0,592,0,0,0,592,534,58,0,483,9,0,0,0,59,350,60,5,417900,483,325,158,325,0,24,44,129,52,61,15,1869,158,27,31,74,2,17,7,436,313,137,20,42,49,65,12,158,73,26,5,11,0,0,43,0,96,21,0,30,23,16,6,0,1467,13,96,0,35,6,18,0,37,13,ACS_Housing_DC_CensusTract_42,0,0
10,11,001,002002,11001002002,20.02,Census Tract 20.02,G5020,S,849376,0,+38.9525009,-077.0310824,1448,1293,155,1.8,11.5,1448,602,466,25,0,0,18,337,0,0,1448,0,0,0,4,0,15,25,122,260,1022,1448,55,12,225,97,24,150,181,333,371,7.4,1448,55,252,89,355,396,301,1293,923,370,3.62,3.7,1293,33,144,417,281,149,269,1293,156,507,407,223,1293,951,0,313,15,0,0,0,4,10,1293,0,0,57,1293,1204,64,25,923,0,28,0,17,65,160,568,85,679300,923,689,234,689,0,36,98,68,83,49,355,3047,234,8,0,40,78,34,74,785,689,380,66,52,45,146,0,234,142,22,45,0,5,0,20,0,370,0,31,176,124,8,0,31,1456,0,366,118,51,31,6,31,129,4,ACS_Housing_DC_CensusTract_174,0,0
