OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,DP02_0001E,DP02_0002E,DP02_0003E,DP02_0004E,DP02_0005E,DP02_0006E,DP02_0007E,DP02_0008E,DP02_0009E,DP02_0010E,DP02_0011E,DP02_0012E,DP02_0013E,DP02_0014E,DP02_0015E,DP02_0016E,DP02_0017E,DP02_0018E,DP02_0019E,DP02_0020E,DP02_0021E,DP02_0022E,DP02_0023E,DP02_0024E,DP02_0025E,DP02_0026E,DP02_0027E,DP02_0028E,DP02_0029E,DP02_0030E,DP02_0031E,DP02_0032E,DP02_0033E,DP02_0034E,DP02_0035E,DP02_0036E,DP02_0037E,DP02_0038E,DP02_0039E,DP02_0040E,DP02_0041E,DP02_0042E,DP02_0043E,DP02_0044E,DP02_0045E,DP02_0046E,DP02_0047E,DP02_0048E,DP02_0049E,DP02_0050E,DP02_0051E,DP02_0052E,DP02_0053E,DP02_0054E,DP02_0055E,DP02_0056E,DP02_0057E,DP02_0058E,DP02_0059E,DP02_0060E,DP02_0061E,DP02_0062E,DP02_0063E,DP02_0064E,DP02_0065E,DP02_0066E,DP02_0067E,DP02_0068E,DP02_0069E,DP02_0070E,DP02_0071E,DP02_0072E,DP02_0073E,DP02_0074E,DP02_0075E,DP02_0076E,DP02_0077E,DP02_0078E,DP02_0079E,DP02_0080E,DP02_0081E,DP02_0082E,DP02_0083E,DP02_0084E,DP02_0085E,DP02_0086E,DP02_0087E,DP02_0088E,DP02_0089E,DP02_0090E,DP02_0091E,DP02_0092E,DP02_0093E,DP02_0094E,DP02_0095E,DP02_0096E,DP02_0097E,DP02_0098E,DP02_0099E,DP02_0100E,DP02_0101E,DP02_0102E,DP02_0103E,DP02_0104E,DP02_0105E,DP02_0106E,DP02_0107E,DP02_0108E,DP02_0109E,DP02_0110E,DP02_0111E,DP02_0112E,DP02_0113E,DP02_0114E,DP02_0115E,DP02_0116E,DP02_0117E,DP02_0118E,DP02_0119E,DP02_0120E,DP02_0121E,DP02_0122E,DP02_0123E,DP02_0124E,DP02_0125E,DP02_0126E,DP02_0127E,DP02_0128E,DP02_0129E,DP02_0130E,DP02_0131E,DP02_0132E,DP02_0133E,DP02_0134E,DP02_0135E,DP02_0136E,DP02_0137E,DP02_0138E,DP02_0139E,DP02_0140E,DP02_0141E,DP02_0142E,DP02_0143E,DP02_0144E,DP02_0145E,DP02_0146E,DP02_0147E,DP02_0148E,DP02_0149E,DP02_0150E,DP02_0151E,DP02_0152E,DP02_0153E,GIS_ID,SHAPEAREA,SHAPELEN
1,11,001,001200,11001001200,12,Census Tract 12,G5020,S,1218245,0,+38.9462264,-077.0705239,2468,971,515,41,14,665,69,449,59,791,73,581,228,685,585,2.16,2.85,5333,2468,988,42,1225,85,525,1989,715,1034,4,13,223,2394,898,1095,30,196,175,29,0,0,20,0,27,16,14,0,0,0,0,0,0,0,0,1119,181,30,437,128,343,4023,67,3,148,370,45,1158,2232,3953,3390,4255,238,5362,385,1107,27,3499,64,756,294,5318,4513,664,481,183,0,183,141,5362,4070,3882,1021,2861,188,1292,1292,642,650,1480,188,30,158,1292,419,873,1292,492,427,29,24,320,0,4949,3726,1223,125,404,39,598,28,202,58,19,0,5362,135,15,41,35,43,637,298,16,783,76,19,682,341,46,31,230,182,187,48,159,14,14,84,0,8,114,18,2468,2428,2313,ACS_Social_DC_Census_Tracts_161,0,0
2,11,001,009503,11001009503,95.03,Census Tract 95.03,G5020,S,1423608,0,+38.9434458,-076.9845276,1118,657,213,45,22,110,0,71,26,306,66,126,51,319,466,2.69,3.04,3005,1118,664,41,804,302,76,1199,465,624,0,55,55,1509,462,774,6,93,174,53,17,48,78,0,77,87,110,17,0,0,8,9,17,9,17,577,37,19,222,112,187,2364,15,76,323,466,102,541,841,2273,1382,2641,181,3153,240,537,0,1894,70,722,170,3114,2722,346,165,181,0,181,46,3182,3015,2974,1265,1709,41,167,167,120,47,208,41,9,32,167,52,115,167,6,30,118,0,13,0,2963,2675,288,74,48,0,15,12,51,21,174,41,3182,83,12,0,0,5,183,71,26,156,7,0,318,123,0,1,38,14,3,9,44,50,99,8,7,0,10,28,1118,1001,944,ACS_Social_DC_Census_Tracts_30,0,0
3,11,001,009501,11001009501,95.01,Census Tract 95.01,G5020,S,1590019,0,+38.9418428,-077.0029522,1898,437,296,126,46,623,49,410,53,712,167,317,102,651,345,2.69,3.91,5115,1898,410,119,1680,724,284,2965,2244,493,52,33,143,3130,2289,449,19,117,256,32,12,5,13,0,25,5,83,10,0,0,0,10,10,10,0,3662,228,96,574,283,2481,3436,313,366,965,679,96,535,482,2757,1017,5864,85,7323,770,1497,111,5363,539,463,120,7364,5020,2174,1048,1126,0,1126,170,7368,5595,5477,2312,3165,118,1773,1773,364,1409,1891,118,52,66,1773,851,922,1773,96,153,482,19,982,41,6801,4512,2289,1349,1612,1078,112,17,128,43,437,211,7368,77,18,12,9,40,141,84,32,405,0,31,648,575,15,19,173,6,35,43,37,4,583,31,4,14,9,64,1898,1604,1201,ACS_Social_DC_Census_Tracts_29,0,0
4,11,001,009509,11001009509,95.09,Census Tract 95.09,G5020,S,648848,0,+38.9492140,-076.9950319,1288,482,172,37,24,217,14,147,62,552,44,303,256,386,546,2.65,3.5,3412,1288,498,39,989,503,95,1184,446,624,5,16,93,1534,487,501,0,318,228,84,58,147,131,0,213,81,90,9,9,0,0,0,9,9,0,732,130,8,218,133,243,2466,101,195,728,422,142,558,320,2170,878,2652,201,3412,577,760,32,1969,205,683,340,3275,2991,284,128,156,0,156,0,3412,3168,3021,1731,1290,147,244,244,60,184,391,147,39,108,244,12,232,244,47,12,20,0,165,0,3063,2663,400,135,215,135,90,0,80,0,15,0,3412,143,0,0,0,0,81,11,0,131,0,10,41,27,0,0,16,0,0,0,22,0,75,74,0,0,0,9,1288,1053,964,ACS_Social_DC_Census_Tracts_44,0,0
5,11,001,002202,11001002202,22.02,Census Tract 22.02,G5020,S,693961,566,+38.9479653,-077.0118821,1224,389,180,109,28,313,42,190,47,413,46,181,43,366,293,2.71,3.54,3315,1224,397,102,910,552,130,1328,843,368,50,20,47,1330,624,435,56,51,164,54,22,41,65,0,92,51,111,0,0,0,0,0,0,0,0,621,16,43,233,108,221,2354,73,164,485,516,48,598,470,2117,1068,2575,67,3332,368,757,18,2212,229,363,121,3281,2893,365,314,51,0,51,23,3332,2695,2668,1410,1258,27,637,637,253,384,664,27,0,27,637,112,525,637,16,18,98,0,481,24,2953,2166,787,257,621,243,104,14,0,0,62,0,3332,61,144,12,11,0,99,38,7,122,0,0,68,71,20,0,20,0,29,0,33,0,159,0,0,12,0,130,1224,1070,939,ACS_Social_DC_Census_Tracts_14,0,0
6,11,001,002201,11001002201,22.01,Census Tract 22.01,G5020,S,415173,0,+38.9491337,-077.0232932,992,439,149,28,0,211,23,122,38,314,0,146,103,229,306,3.28,3.79,3250,992,453,28,878,565,334,1387,735,508,14,48,82,1528,666,586,17,145,114,29,13,24,32,0,64,0,42,0,0,0,0,0,0,0,0,610,80,27,128,74,301,2593,203,47,512,509,67,757,498,2343,1255,2838,61,3264,339,426,0,2402,166,436,173,3233,2976,257,152,105,0,105,0,3264,2571,2513,1296,1217,58,693,693,393,300,751,58,0,58,693,150,543,693,78,62,195,0,358,0,3103,2219,884,420,516,263,136,0,32,0,200,157,3264,125,42,0,0,20,103,11,0,184,10,10,60,136,0,44,32,0,47,24,27,0,154,19,0,49,18,122,992,883,834,ACS_Social_DC_Census_Tracts_13,0,0
7,11,001,000901,11001000901,9.01,Census Tract 9.01,G5020,S,2952810,75151,+38.9384363,-077.1004240,1552,1115,501,0,0,158,0,128,93,279,26,223,164,542,738,2.71,3.01,4209,1552,1121,0,1149,87,300,2814,1509,1145,0,34,126,3640,2135,1219,0,178,108,61,0,0,24,0,35,86,31,10,0,0,0,10,10,10,10,4147,81,17,544,270,3235,3110,14,49,122,164,46,805,1910,3047,2715,6194,325,7261,615,1067,19,5046,211,1148,385,7221,4823,2139,440,1699,0,1699,259,7270,6041,5774,1330,4444,267,1229,1229,581,648,1496,267,65,202,1229,388,841,1229,416,431,88,9,221,64,7089,5230,1859,309,748,89,703,70,339,144,69,6,7270,174,36,20,7,107,523,290,86,802,67,29,911,532,54,39,353,7,178,102,220,8,51,90,9,60,34,53,1552,1454,1441,ACS_Social_DC_Census_Tracts_89,0,0
8,11,001,001302,11001001302,13.02,Census Tract 13.02,G5020,S,1593506,14706,+38.9420430,-077.0556067,4919,1120,62,400,0,1285,11,1195,124,2114,48,1805,543,121,1077,1.46,2.09,7166,4919,1047,395,264,27,514,2898,1550,1238,0,55,55,4046,2472,1096,0,198,280,18,0,0,7,,10,0,0,0,0,0,0,0,0,0,0,1031,81,42,55,0,853,6401,0,132,79,396,353,1830,3611,6269,5441,6872,383,7094,451,222,12,5455,198,1417,241,7145,5232,1836,654,1182,0,1182,77,7166,5734,5480,359,5121,254,1432,1432,538,894,1686,254,18,236,1432,742,690,1432,609,406,0,85,309,23,7041,5593,1448,333,697,184,488,23,245,126,18,0,7166,208,62,42,19,94,683,215,47,849,74,0,705,437,39,61,263,83,215,111,356,24,45,160,47,127,165,167,4919,4681,4521,ACS_Social_DC_Census_Tracts_7,0,0
9,11,001,002501,11001002501,25.01,Census Tract 25.01,G5020,S,543460,0,+38.9446515,-077.0317348,1007,340,171,70,17,228,37,155,72,369,106,143,114,379,376,3.19,3.51,3216,1007,341,68,868,534,398,1404,854,369,78,0,103,1180,470,398,10,163,139,19,0,0,29,0,31,28,110,13,0,0,0,13,13,13,13,677,62,98,264,110,143,2400,301,254,420,545,93,294,493,1845,787,2518,80,3232,297,715,15,2054,135,463,147,3225,2839,372,325,47,0,47,14,3260,2328,2256,928,1328,72,932,932,242,690,1004,72,0,72,932,261,671,932,21,13,51,0,847,0,3013,1861,1152,786,940,701,52,21,20,0,140,64,3260,24,13,0,0,0,60,42,0,79,12,0,156,28,10,6,61,25,70,0,11,0,73,0,0,12,16,172,1007,871,706,ACS_Social_DC_Census_Tracts_34,0,0
10,11,001,002301,11001002301,23.01,Census Tract 23.01,G5020,S,412613,0,+38.9425896,-077.0165738,1151,582,333,39,0,152,10,86,27,378,10,169,60,389,342,3.13,3.67,3597,1151,574,37,1125,346,364,1370,558,697,36,37,42,1546,558,658,0,219,111,125,31,63,127,0,111,143,77,0,0,0,0,0,0,0,0,823,128,53,185,203,254,2503,99,38,307,496,91,536,936,2366,1472,2809,170,3608,278,799,38,2392,87,417,153,3467,3191,227,205,22,0,22,49,3608,3029,2977,1551,1426,52,579,579,335,244,631,52,0,52,579,158,421,579,63,43,46,19,408,0,3278,2726,552,321,374,305,117,16,15,0,46,0,3608,143,0,0,0,8,51,42,0,169,0,27,239,137,8,0,32,0,9,17,28,0,163,7,0,10,0,86,1151,1113,972,ACS_Social_DC_Census_Tracts_15,0,0
